title,author_name,date,likes,comments,categories_list,type
Lunch with English Novelist John Wain,Steve Newman Writer,2018-09-05T18:14:45.439Z,86,86,Writing,Blog
"The UX Designer’s Comprehensive, Growing Reading List",Valinda Chan,2018-10-25T18:57:56.104Z,66,66,Design,Blog
When the Classics Won’t Stay Dead,E.D. Adams and T.J. Bolt,2018-10-25T17:23:57.059Z,92,92,Film,Blog
Shirley Barrett Recommends Five Horrifying Books That Aren’t By Men,Electric Literature,2018-10-25T11:01:02.223Z,70,70,Read More Women,Blog
Yuval Noah Harari’s Half-Baked Guide to the 21st Century,Wessie du Toit,2018-10-25T14:01:55.252Z,110,110,Books,Blog
Life Is A Gift,Ed Newman,2018-09-14T06:31:00.000Z,4,4,Poetry,Blog
"Flowers, seaweeds and women’s lib: 6 women botanic illustrators",Alba Diez de Ure,2018-08-24T13:48:44.000Z,102,102,Art,Blog
‘Good and Mad’ Helped Me Understand The Woman Who Makes Me Angriest,E.B. Bartels,2018-10-24T11:01:02.040Z,217,217,Feminism,Blog
Édouard Louis on Fictionalizing His Violent Assault,Courtney Maum,2018-10-24T11:01:01.756Z,74,74,Books,Blog
Father Divine’s Bikes Review and History,Laura Sandonato,2018-10-23T19:10:13.292Z,na,na,Racism,Blog
The Influence of Literature on Modern Art,SHANGRIXLA,2018-10-23T20:44:17.169Z,6,6,Art,Blog
Everything I Knew About Reading Was Wrong,Johnny,2018-10-22T14:02:42.000Z,11.6K,11.6K,Books,Blog
Long Live the Goth-esque Novel,Erin Bartnett,2018-10-22T11:01:06.879Z,70,70,Books,Blog
"Cormac McCarthy’s Mostly White, Male Mythology: Rethinking the Canon",Paul Thomas,2018-10-23T12:31:46.613Z,2,2,Ta Nehisi Coates,Blog
A Reading List of Palestinian Prose,Marcello Di Cintio,2018-10-23T11:01:02.907Z,19,19,Palestine,Blog
The Volcano That Shrouded the Earth and Gave Birth to a Monster,Nautilus,2018-10-22T00:00:00.000Z,na,na,na,Blog
The Problem Is We Think Too Much,Sarah Firth,2018-06-29T06:36:02.146Z,1.3K,1.3K,Philosophy,Blog
Welcome to the Worst State for Women,The Nib,2018-10-29T22:47:44.936Z,43,43,Abortion,Blog
You Are (Gentrification),Sarah Firth,2017-07-13T09:11:20.536Z,,,,Blog
Nothing Really Mattress,Sarah Firth,2017-07-24T03:07:05.405Z,823,823,Meaning,Blog
Crispy,Sarah Firth,2018-06-13T04:38:55.704Z,80,80,Addiction,Blog
Things I Have Enjoyed Recently,Sarah Firth,2018-06-29T05:56:22.206Z,110,110,Creativity,Blog
Intimacy Dreams,Sarah Firth,2018-07-23T01:48:06.551Z,82,82,Intimacy,Blog
The Problem Is We Think Too Much,Sarah Firth,2018-06-29T06:36:02.146Z,1.3K,1.3K,Philosophy,Blog
Halloween Party Activities,The Nib,2018-10-25T22:17:21.262Z,182,182,Political Satire,Blog
Wish You Were Here,Grant Reynolds,2018-10-25T13:01:03.047Z,809,809,Grant Reynolds,Blog
When a baby arrives in a Persian household,Always Not Quite,2018-10-24T17:01:07.470Z,71,71,Parenting,Blog
Fall Wellness Trends,The Nib,2018-10-23T20:04:30.813Z,117,117,Political Satire,Blog
…And Yet So Far,The Nib,2018-10-23T19:07:20.360Z,65,65,Comics,Blog
He Left Me Hanging When I Needed Someone the Most,Ask Olive,2018-10-23T13:01:03.010Z,1.5K,1.5K,Ask Olive,Blog
"Newsletter 21: I wrote Cam a note that said, “Cam, you’re a rat.”",,2018-10-21T11:46:12.414Z,132,132,Comics,Blog
Halloween in New York,Hilary Fitzgerald Campbell,2018-10-19T13:01:01.837Z,na,na,na,Blog
10 People You Meet on Remote Calls,na,12-Aug,,,na,Blog
An Illustrated Guide to Everyone I Blocked on Twitter,Nathan T. Wright,2018-10-17T22:25:53.415Z,na,na,na,Blog
Danger Along the Balkan Refugee Route,The Nib,2018-10-17T18:10:39.662Z,86,86,Refugees,Blog
What’s a Democrat to Do?,The Nib,2018-10-17T18:12:34.612Z,238,238,Comics,Blog
Prince of Fraud,The Nib,2018-10-17T17:40:08.862Z,193,193,Donald Trump,Blog
Baby Movers and Shakers,Cara Gormally,2018-10-22T13:01:02.104Z,na,na,na,Blog
Geopoetry: Space and Time,Claire C. McKinley,2018-10-17T13:53:08.335Z,na,na,na,Blog
The Purple Skirt,Abby Denson,2018-10-29T13:01:01.647Z,na,na,na,Blog
Great Winter Expectations,Kelly Abeln,2018-10-24T13:01:02.086Z,na,na,na,Blog
Naruto E-book Enhancement,Josh Wilsher,2018-10-14T05:26:12.271Z,250,250,Design,Blog
Creating a Comic at One of the Busiest Maternity Wards in the World,Doctors Without Borders,2018-10-15T14:28:58.139Z,338,338,Health,Blog
A Sort-of Adaptation of the SCUM Manifesto,Gabrielle Bell,2018-10-15T13:01:01.934Z,na,na,na,Blog
Working for a Company vs. Working for Yourself,Sarah Cooper,2018-10-15T12:47:56.344Z,8.7K,8.7K,Humor,Blog
Life in the Shower.,Chaz Hutton,2018-10-15T10:12:57.922Z,na,na,na,Blog
Only YOU Can Stop Climate Change,,2018-10-12T20:36:42.665Z,170,170,na,Blog
Ice Blended Coffee,Hilary Fitzgerald Campbell,2018-10-12T12:41:32.809Z,na,na,na,Blog
7 Reasons The MCU Needs Dr. Doom More Than The Fantastic Four,Danny Hernandez,2018-10-12T13:01:01.415Z,na,na,na,Blog
"Support People Coming Out, And Those Who Are Not",SexEdPlus Dan,2018-10-11T15:06:50.466Z,na,25,na,Blog
A Day at Walden Pond,Corey Corcoran,2018-10-11T13:01:02.318Z,na,na,na,Blog
"As Before, So Behind",The Nib,2018-10-10T18:39:52.001Z,917,917,Memoir,Blog
Evolution Has Already Approved of Everything You’ll Do Tomorrow,na,26-Oct,,,na,Blog
The Argument for a Global Consciousness,Alex Goik,2018-10-29T20:53:06.925Z,4,4,Politics,Blog
How Aging Research Is Changing Our Lives,Nautilus,2018-10-29T00:00:00.000Z,na,na,na,Blog
"Monsters, Marvels, and the Birth of Science",Nautilus,2018-10-29T00:00:00.000Z,na,na,na,Blog
Is The Good Place the Seinfeld sequel (that we all deserve)?,Jack Firneno,2018-10-29T18:47:14.840Z,na,na,Comedy,Blog
Should a Self-Driving Car Kill the Baby or the Grandma? Depends on Where You’re From,MIT Technology Review,2018-10-29T22:14:12.857Z,na,na,na,Blog
15 Things We Learned From Reading ‘Beastie Boys Book’,uDiscover Music,2018-10-29T14:00:19.000Z,na,na,na,Blog
They Meet Up in Motels Across America…to Trade Old Beer Cans,Narratively,2018-10-29T11:23:08.172Z,na,na,na,Blog
Forgotten Culture: A Look Inside One Of America’s Dead Malls,Maddy Heller,2018-10-27T20:40:13.620Z,6,6,Shopping,Blog
Pop Music’s Legacy Of Androgyny Continues To Guide Us,Sean F. McGowan,2018-10-27T18:45:01.917Z,10,10,Music,Blog
War-Gaming for Peace,Paul Dean,2018-10-29T15:08:15.340Z,na,na,Gaming,Blog
The Haunting (and Civically Responsible) Beauty of Halloween Stores,na,29-Oct,,,na,Blog
Pink As F*ck: The Colorful History Of A Sex Symbol,The Establishment,2018-10-29T04:41:01.331Z,49,49,Feminism,Blog
"Why women want to be witches, not princesses",Selin Yasar,2018-10-29T09:37:03.332Z,na,na,na,Blog
Defend the open internet,Riti Dass,2018-10-28T04:36:01.946Z,63,63,Net Neutrality,Blog
The character assassination of Taylor Swift,The Overtake,2018-10-28T16:36:02.108Z,na,na,na,Blog
"When you fat shame strangers, you fat shame your loved ones, too",Juliet James,2018-10-28T10:13:15.365Z,na,na,na,Blog
Sinéad O’Connor’s conversion to Islam.,Nabeel Tahir,2018-10-28T09:03:47.702Z,na,na,na,Blog
3 Things I Love About the Post-Millennial Generation,Joy O'Steen,2018-10-27T17:52:31.549Z,na,na,na,Blog
How to Save the American Mall — With Theatre,David Blixt,2018-10-27T19:13:04.009Z,na,na,na,Blog
In Defense of the Fan-fic,Emily Kate,2018-10-26T17:37:49.903Z,na,na,na,Blog
Evolution Has Already Approved of Everything You’ll Do Tomorrow,na,26-Oct,,,na,Blog
The Midterm Stakes: A Brief Primer,na,26-Oct,,,na,Blog
Why a Virtual YouTuber Has Some Japanese Women Railing Against Anime Culture,Unseen Japan,2018-10-23T02:00:00.000Z,100,100,Japan,Blog
Cool Ghouls* (aka Fright TV),David Bushman,2018-10-26T15:04:03.682Z,4,4,Movies,Blog
It’s Time to Stop Talking About Millennials,The Financial Times,2018-10-26T16:16:44.248Z,na,na,na,Blog
What Comic Books Can Tell Us About the Potential of Emojis,Sam Saxton,2018-10-26T12:01:02.791Z,na,na,na,Blog
The Death of Hollywood’s Middle Class,Fast Company,2018-10-25T00:00:00.000Z,na,na,na,Blog
"Broadcast TV Hits Record Percentage of LGBTQ Regulars, Study Finds",The Hollywood Reporter,2018-10-25T00:00:00.000Z,na,na,na,Blog
How HBO Is Changing Sex Scenes Forever,Rolling Stone,2018-10-25T05:36:05.598Z,na,na,na,Blog
Can Kevin Young Make Poetry Matter Again?,Esquire,2017-11-27T16:51:20.625Z,na,na,na,Blog
Now Not: A Reluctant Eulogy for Donald Hall,Joel Barker,2018-07-21T16:24:29.059Z,na,na,na,Blog
"Is It Possible for Machines to Translate Poetry, When Humans Can Barely Do It?",Katy Ilonka,2018-04-03T11:01:01.425Z,153,153,Translation,Blog
Where Is The Meaning of Art?,Paul de Font-Reaulx,2018-05-13T10:44:05.138Z,1.4K,1.4K,Philosophy,Blog
The Original Poet-Bro,Blake Gossard,2018-04-14T02:42:55.633Z,na,na,na,Blog
When the Classics Won’t Stay Dead,E.D. Adams and T.J. Bolt,2018-10-25T17:23:57.059Z,92,92,Film,Blog
E.T. Is Secretly the Scariest Movie of All Time,na,24-Oct,,,na,Blog
First Man and A Star Is Born — The Power of Authentic Storytelling,Liam Norval,2018-10-28T07:53:42.706Z,na,na,Movies,Blog
Halloween (Mostly) Delivers on a 40-Year Promise,Joey Shapiro,2018-10-29T19:28:13.001Z,na,na,na,Blog
"Halloween, Forty Years On",Emma Olsson,2018-10-28T04:06:03.320Z,na,na,Movies,Blog
The Cinema Scale,Mike Jasper,2018-10-29T18:23:05.860Z,na,na,na,Blog
"10 Films and 40 Years Later, Hollywood Still Misses the Point of “Halloween”",Richard LeBeau,2018-10-29T03:06:07.889Z,na,na,na,Blog
"Questions for Star Wars, Episode IX",Parker Hjelmberg,2018-10-28T20:15:56.170Z,na,na,na,Blog
Paradise Has An Electrified Fence: The Films of Nikolaus Geyrhalter,Ashley Naftule,2018-10-28T15:01:02.516Z,na,na,na,Blog
Narrative Short Films Highlights — NOFF 2018,Miniflix,2018-10-27T00:57:00.990Z,na,na,Short Film,Blog
Why Halloween is the Quintessential Horror Movie,Brian Rowe,2018-10-27T18:38:21.932Z,na,na,na,Blog
How horror movies turn fear into fun,Futurity News,2018-10-26T19:13:49.501Z,6,6,Film,Blog
Can we just talk about the animation in Spider-verse for a second?,Jason Chatfield,2018-10-26T15:53:04.310Z,65,65,Movies,Blog
How HBO Is Changing Sex Scenes Forever,Rolling Stone,2018-10-25T05:36:05.598Z,na,na,na,Blog
The Devil Rides Out (1968) • 50 Years Later,Remy Dean,2018-10-24T16:57:42.000Z,na,na,na,Blog
When the Classics Won’t Stay Dead,E.D. Adams and T.J. Bolt,2018-10-25T17:23:57.059Z,92,92,Film,Blog
Freddie Mercury Has Been My Idol Since I Was 10. I Will Not Pay To See ‘Bohemian Rhapsody.’,Gregory Uzelac,2018-10-25T16:07:12.436Z,na,na,na,Blog
Reader Question: May I deliver my scripts personally to a literary management company?,Scott Myers,2018-10-25T11:21:01.482Z,40,40,Screenwriting,Blog
Why Are So Many Monsters Hybrids?,Nautilus,2018-10-24T00:00:00.000Z,na,na,na,Blog
Rob Zombie’s Halloween Is Not “Fascinating”,Anthony Aycock,2018-10-24T19:57:51.943Z,na,na,na,Blog
Essential Erotic Thrillers: David Wales on EYES WIDE SHUT,Kate Hagen,2018-10-24T18:03:33.347Z,1,1,Film,Blog
From No Budget to Netflix: How ‘Paris Est Une Fête’ Captured (and Captivated) a City,Kickstarter,2018-10-24T12:02:04.939Z,133,133,Kickstarter,Blog
E.T. Is Secretly the Scariest Movie of All Time,na,24-Oct,,,na,Blog
Get Ready for a VRevelation,Alice Bonasio,2018-10-24T06:07:17.000Z,na,na,na,Blog
This Melissa McCarthy Story Just Might (Maybe? Possibly?) Cheer You Up,New York Times Magazine,2018-10-24T00:08:38.515Z,na,na,na,Blog
Halloween: The Perfect Slasher Turns 40,One Room With A View,2018-10-17T08:00:31.000Z,na,na,na,Blog
What’s the Meta? How The Cabin in the Woods Subverted Horror,One Room With A View,2018-10-11T09:00:06.000Z,na,na,na,Blog
Make it a Double: HALLOWEEN & BLUE STEEL,Frank Calvillo,2018-10-23T21:16:01.754Z,1,1,Movies,Blog
’22 July’ displays the danger of right wing extremism,Peoplesworld Social Media,2018-10-23T19:36:59.218Z,6,6,Terrorism,Blog
Black Panther as Pedagogy,FandomsAsSocMvmts,2018-10-21T22:47:39.491Z,122,122,Black Panther,Blog
Three Keys to Hollywood Success,Michael Tauberg,2018-10-23T06:38:04.862Z,na,na,na,Blog
The Hate U Give is the Wake-Up Call the News Couldn’t Be,Kristen Pizzo,2018-10-23T02:31:45.898Z,na,na,na,Blog
My Love/Hate Relationship With Queer Subtext,Molly McKinney,2018-10-22T22:29:15.561Z,22,22,LGBTQ,Blog
Giving Color to History,Elizabeth Picciuto,2018-10-22T21:53:36.960Z,na,na,na,Blog
The Warring Worlds of “The Hate U Give”,Joshua Adams,2018-10-22T17:36:02.128Z,111,111,BlackLivesMatter,Blog
Broadsides & Bone Saws,Robert A Stribley,2018-10-22T13:01:02.154Z,na,na,na,Blog
Why We Love Jeff Goldblum: Celebrating 66 years of good GIFs on his birthday,Jackie Sizemore,2018-10-22T04:02:08.297Z,na,na,na,Blog
Why Do We Think Booze Is Healthy?,na,21-Oct,,1.7K,na,Blog
Food scraps to become dairy and meat substitutes,Horizon,2018-10-29T11:31:38.253Z,5,5,Food Waste,Blog
Top 5 Reasons to Try a Vegan Month,Sam Lee,2018-10-29T07:56:35.702Z,1,1,Vegan,Blog
Reflections of an insecure vegan,Christina Liu,2018-10-29T06:50:46.231Z,na,na,na,Blog
Can Cultured Meat Safe the Planet?,TLGG Consulting,2018-10-27T14:01:02.105Z,48,48,Environment,Blog
Japanese Riceballs,Alvaro Adizon,2018-10-27T11:41:19.176Z,25,25,Short Story,Blog
What I Learned From Making Hot Sauce at Scale,Jenny Gao,2018-10-25T17:42:46.006Z,na,na,na,Blog
Got Milk?,Lloyd Sparks,2018-10-27T19:27:59.018Z,na,na,na,Blog
Easy Bread,Dan Harrison,2018-10-25T04:10:15.535Z,86,86,Bread,Blog
Garden Court at the Palace Hotel,Ilana Walder-Biesanz,2018-10-25T00:03:54.087Z,5,5,Food,Blog
Food and nutrition security at the heart of the 2030 Agenda,Julze Alejandre,2018-10-24T17:09:46.860Z,na,na,Sustainable Development,Blog
"How Much Herbicide Can You Tolerate in Your Food, and for How Long?",Bloomberg,2018-10-26T08:45:46.416Z,na,na,na,Blog
What’s In Your Fridge?,The Brooklyn Ink,2018-10-25T13:26:02.182Z,65,65,Food,Blog
Costa Rica — eating vegan,Foodsaurus,2018-10-23T09:38:44.481Z,15,15,Travel,Blog
"Miyoko Schinner, the Premier Pioneer of Plant-Based Cheese",Gabe Kleinman,2018-10-24T13:01:01.989Z,155,155,Food,Blog
A HowGood Assessment: USDA Organic,HowGood Ratings,2018-10-22T14:22:50.913Z,5,5,Food,Blog
Secrets of Ancient Beer,G4Biology,2018-10-22T13:23:42.228Z,40,40,Beer,Blog
How to Save Money on Food,Stephanie Zhu,2018-10-24T00:27:33.643Z,na,na,na,Blog
The government needs to step up to the plate on meat and dairy.,Frankie Crossley,2018-10-22T10:10:48.098Z,52,52,Vegan,Blog
Why Do We Think Booze Is Healthy?,na,21-Oct,,,na,Blog
How the Chile Pepper Took Over the World,Matt Gross,2018-10-23T18:18:05.126Z,901,901,Food,Blog
"If What You Eat Can Change the World, Why Won’t Americans Give Up Beef?",Alicia Kennedy,2018-10-23T14:10:43.758Z,594,594,Environment,Blog
We ate our way around Silicon Valley’s Asian Street Food Market. Here are our favs.,Sara Hayden,2018-10-22T23:12:08.958Z,22,22,Food,Blog
Why People in Rich Countries Are Eating More Vegan Food,The Economist,2018-10-22T19:50:00.000Z,na,na,na,Blog
The Power of Polenta,na,13-Oct,,,na,Blog
Millennial shoppers: How are they impacting grocery retail?,IceCream Labs,2018-10-15T21:23:07.000Z,23,23,Food,Blog
"Cake in juice: Craft beer, Singapore style",Ann Deslandes,2018-07-05T19:14:30.394Z,na,na,na,Blog
"Vanilla, a Legendary Flavor",Bryan Quoc Le,2018-10-20T20:28:08.444Z,na,na,na,Blog
Patrice Pâtissier Montreal,Karolina Vaseva,2018-10-01T02:36:34.000Z,7,7,Food,Blog
Hangover in a Bottle,Louisa Chalmer,2018-10-19T00:00:00.000Z,na,na,na,Blog
Fish,na,4-Mar,,718,na,Blog
Grades are in for America’s top burger chains,Hannah Lacasse,2018-10-17T13:46:58.566Z,87,87,Health,Blog
What Does Shame Taste Like?,Jenny Dorsey,2018-10-19T02:23:37.132Z,na,na,na,Blog
BRIGHT Magazine,BRIGHT Magazine,2018-08-30T14:01:01.083Z,173,173,Health,Blog
Animal Agriculture Hurts Humans Too,Bethany Ivy Ⓥ,2018-10-18T14:33:22.165Z,na,na,na,Blog
Are Fancy Nut Butters Really Healthier Than Peanut Butter?,na,18-Oct,,,na,Blog
The Power Struggle for Dungeons & Dragons’ Soul,na,24-Oct,,,na,Blog
Revisiting 2009’s Ghostbusters,Josh Bycer,2018-10-30T00:35:43.302Z,40,40,Ghostbusters,Blog
There Are Not “Too Many Games”: What The Indiepocalypse Panic Ignores,Liz Ryerson,2018-10-29T16:01:02.333Z,74,74,Videogames,Blog
The Nightmare of Valve’s self-organizing “utopia”,Ong Kar Jin,2018-10-27T13:13:16.489Z,175,175,Management,Blog
‘Crunch Culture’ Returns to Forefront of Games Media Following Rockstar Controversy,Brianna Forsyth,2018-10-29T04:30:47.156Z,na,na,na,Blog
Toggle(Patience),Maybe Later Games,2018-10-28T03:31:10.826Z,na,na,UX Design,Blog
Pokemon Go’s second act may be even better than its first: product lessons learned from the hit game,Eric Feng,2018-10-28T01:05:10.746Z,216,216,Pokemon,Blog
StreamElements State of the Stream: TwitchCon Edition,Adam Yosilewitz,2018-10-25T16:15:36.096Z,164,164,Esports,Blog
Was the Full Smash Ultimate Roster Just Leaked?,Mitchell F Wolfe,2018-10-25T23:32:18.234Z,65,65,Nintendo,Blog
The power of Easter Eggs in tech,Silvia Venditti,2018-10-25T01:53:04.391Z,180,180,Games,Blog
Am I Allowed to Play Video Games?,Avery Lewis,2018-10-24T22:50:19.649Z,na,na,na,Blog
World War 3 Impressions,Zach Robertson,2018-10-24T20:58:45.648Z,1,1,Gaming,Blog
Lessons learned from mapping the mobile gaming market,Ishai Smadja,2018-10-24T15:20:30.375Z,151,151,Gaming,Blog
The Trouble With Talking About Crunch,Josh Bycer,2018-10-24T14:41:02.031Z,na,na,na,Blog
I Did Everything “Wrong”: A First-Timer’s Indie Game Kickstarter Pre-Mortem,moebial studios,2018-10-22T16:10:55.145Z,150,150,Crowdfunding,Blog
At Your Fingertips: A Look at Open-World Games,William Lim,2018-10-21T00:00:00.000Z,18,18,Videogames,Blog
The Power Struggle for Dungeons & Dragons’ Soul,na,24-Oct,,,na,Blog
Telltale’s demise is a cautionary tale for the video game industry,M S Rayed,2018-10-24T07:53:20.291Z,73,73,Gaming,Blog
Making a Virtual Workforce,Quintin Woods,2018-10-20T04:50:31.000Z,56,56,Gaming,Blog
Selmie’s Story: a minigame concept,Anthony Amici,2018-10-21T11:12:57.145Z,1,1,Games,Blog
We Need New Child Labor Laws for the Digital Age,na,23-Oct,,,na,Blog
A {Simulated} Autumn Walk,Taylos,2018-10-22T15:22:18.560Z,na,na,na,Blog
Chris Kohler’s Book of LoFFVe,Caroline Delbert,2018-10-22T14:53:39.661Z,7,7,Videogames,Blog
Shadow of the Tomb Raider: To Remake the World.,David Klemke,2018-10-21T07:52:22.000Z,na,na,3rd Person Shooter,Blog
Mega Man 11 Review,Josh Bycer,2018-10-20T05:03:38.629Z,36,36,Gaming,Blog
Inside Gaming’s “Mona Lisa”,Gen Cruz,2018-10-19T19:13:00.027Z,na,na,na,Blog
Hacking the Nintendo Powerglove,Benjamin Blundell,2018-10-17T13:37:21.639Z,4,4,Arduino,Blog
"On Starlink, STEM and swoopy space-shooting thrills for families",Stuart Dredge,2018-10-19T09:39:00.147Z,5,5,Space,Blog
How I built my first video game,Terry Karavoulias,2018-10-17T23:54:23.711Z,na,na,na,Blog
Crafting the CPU Opponent: A False AI,Chris Stull,2018-10-16T18:40:28.616Z,68,68,Artificial Intelligence,Blog
Watch and play: when streaming becomes part of the game,Alex Gandra,2018-10-16T14:22:02.148Z,97,97,Streaming,Blog
Review — Middle-earth: Shadow of War Definitive Edition,Walter Muller,2018-10-16T10:43:17.383Z,1,1,Gaming,Blog
Common Misconceptions about Computer Game Design,Talin,2018-10-16T03:35:14.760Z,112,112,Game Design,Blog
Plagiarism in computer games,Alex Stargame,2018-10-17T10:39:47.647Z,28,28,Game Development,Blog
Exhuming Gamergate: A Look Back At A Dark And Extremely Muddied Page In Internet History,Korin Sole,2018-10-17T11:12:10.833Z,8,8,GamerGate,Blog
